story_id,factuality,bias,NL_grammar_mechanics_check,FOL,proof_correctness,Corrected Premises - NL,Premises - NL,Conclusions - NL,Corrected Conclusions - NL,Truth Value,"Premises 
used",Derivation,Derivation - Corrected,"Derivation 
index",Inference rule,Premises - FOL - corrected - optimized,Premises - FOL - corrected,Premises - FOL,Corrected Conclusions - FOL  - optimized,Corrected Conclusion - FOL ,Conclusion - FOL,comment on FOL,comment on Bias
,,,,,,,,,,,"1, 2","If someone plays football, then he or she can throw a football","If someone is a seasoned software engineer at Google, then they know how to use a queue.",D1,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D1,"If someone cannot throw a football, then he or she does not play football","If someone does not know how to use a queue, then they are not a seasoned software engineer at Google.",D2,transposition,,,,,,,,
,,,,,,,,,,,3,"If someone does not play football, then he or she plays basketball","If someone is not a seasoned software engineer at Google, then they have human rights.",D3,XOR4,,,,,,,,
,,,,,,,,,,,"D2, D3","If someone cannot throw a football, the he or she plays basketball","If someone does not know how to use a queue, then they have human rights.",D4,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,"D4, 7",Jack is tall or is a basketball player,Jack is entitled to the right to life and liberty or has human rights.,D5,universal instantiation,,,,,,,,
,,,,,,,,,,,"D5, 4",Jack is tall ,Jack is entitled to the right to life and liberty.,D6,universal instantiation,,,,,,,,
,,,,,,,,,,,"D6, 6",Jack is in shape,Jack cannot be deprived of their rights without due process of law.,D7,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
448,,,CHECKED,,CORRECTED,"Everyone that knows about breath-first-search knows how to use a queue. 
If someone is a seasoned software engineer interviewer at Google, then they know what breath-first-search is. 
Someone is either a seasoned software engineer interviewer at Google, has human rights, or both. 
Every person who has human rights is entitled to the right to life and liberty. 
Everyone that knows how to use a queue knows about the first-in-first-out data structure. 
Everyone that is entitled to the right to life and liberty cannot be deprived of their rights without due process of law. 
Jack is entitled to the right to life and liberty, has human rights, or knows about the first-in-first-out data structure. ","Everyone that uses a football can throw a football.
If someone plays football, then they use a football.
Someone is either a football player or is a basketball player.
Every basketball player is tall.
Everyone that can throw a football can throw a football with a spiral.
If someone is tall, then they are in shape.
Jack is tall or is a basketball player, or Jack cannot throw a football.",Jack is not in shape.,,F,,,,,,,,"∀x (UseFootball(x) → ThrowFootball(x))
∀x (PlayFootball(x) → UseFootball(x))
∀x (BasketballPlayer(x) ⊕ PlayFootball(x))
∀x (BasketballPlayer(x) → Tall(x))
∀x (ThrowFootball(x) → ThrowFootballWithSpiral(x))
∀x (Tall(x) → InShape(x))
Tall(jack) ∨ BasketballPlayer(jack) ∨ ¬ThrowFootball(jack)",,,¬InShape(jack),,
,,,,,,,,,,,"1, 2","If someone plays football, then he or she can throw a football","If someone is a seasoned software engineer at Google, then they know how to use a queue.",D1,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D1,"If someone cannot throw a football, then he or she does not play football","If someone does not know how to use a queue, then they are not a seasoned software engineer at Google.",D2,transposition,,,,,,,,
,,,,,,,,,,,3,"If someone does not play football, then he or she plays basketball","If someone is not a seasoned software engineer at Google, then they have human rights.",D3,XOR4,,,,,,,,
,,,,,,,,,,,"D2, D3","If someone cannot throw a football, the he or she plays basketball","If someone does not know how to use a queue, then they have human rights.",D4,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,"D4, 7",Jack is tall or is a basketball player,Jack is entitled to the right to life and liberty or has human rights.,D5,universal instantiation,,,,,,,,
,,,,,,,,,,,"D5, 4",Jack is tall ,Jack is entitled to the right to life and liberty.,D6,universal instantiation,,,,,,,,
,,,,,,,,,,,"D6, 6",Jack is in shape,Jack cannot be deprived of their rights without due process of law.,D7,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
449,CORRECTED,,CHECKED,,,"If an animal needs a large territory, then it travels far.
Every animal that eats a lot needs a large territory.
If something is a big animal, then it will eat a lot.
Bears are big animals.
Larry is a big animal.","If an animal needs a large territory, then it travels far.
Everything that eats a lot needs a large territory.
If something is a big animal, then it will eat a lot.
All bears are big animals.
Larry is a big animal.",Larry is a bear.,,U,,,,,,"∀x (Animal(x) ∧ Need(x, largeTerritory) → Travel(x, far))
∀x (Eat(x, aLot) → Need(x, largeTerritory))
∀x (Big(x) ∧ Animal(x) → Eat(x, aLot))
∀x (Bear(x) → Big(x) ∧ Animal(x))
Big(Larry) ∧ Animal(larry)",,"∀x (NeedsLargeTerritory(x) → TravelFar(x))
∀x (EatsALot(x) → NeedsLargeTerritory(x))
∀x (BigAnimal(x) → EatsALot(x))
∀x (Bear(x) → BigAnimal(x))
BigAnimal(larry)",Bear(larry),,Bear(larry),,
,,,,,,,wenfei_comment: everything that eats a lot needs a large territory?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
449,,,CHECKED,,,"If an animal needs a large territory, then it travels far.
Every animal that eats a lot needs a large territory.
If something is a big animal, then it will eat a lot.
Bears are big animals.
Larry is a big animal.","If an animal needs a large territory, then it travels far.
Everything that eats a lot needs a large territory.
If something is a big animal, then it will eat a lot.
All bears are big animals.
Larry is a big animal.",Larry is neither a bear nor travels far.,,F,"3,5",Larry eats a lot.,,D1,universal instantiation,,,"∀x (NeedsLargeTerritory(x) → TravelFar(x))
∀x (EatsALot(x) → NeedsLargeTerritory(x))
∀x (BigAnimal(x) → EatsALot(x))
∀x (Bear(x) → BigAnimal(x))
BigAnimal(larry)","¬Bear(larry) ∧ ¬Travel(larry, far)",,¬Bear(larry) ∧ ¬TravelFar(larry),,
,,,,,,,,,,,"2,D1",Larry needs a large territory.,,D2,universal instantiation,,,,,,,,
,,,,,,,,,,,"1,D2",Larry travels far.,,D3,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
449,,,CHECKED,,,"If an animal needs a large territory, then it travels far.
Every animal that eats a lot needs a large territory.
If something is a big animal, then it will eat a lot.
Bears are big animals.
Larry is a big animal.","If an animal needs a large territory, then it travels far.
Everything that eats a lot needs a large territory.
If something is a big animal, then it will eat a lot.
All bears are big animals.
Larry is a big animal.","If Larry either travels far or needs a large territory, then Larry is a bear.",,T,"3,5",Larry eats a lot.,,D1,universal instantiation,,,"∀x (NeedsLargeTerritory(x) → TravelFar(x))
∀x (EatsALot(x) → NeedsLargeTerritory(x))
∀x (BigAnimal(x) → EatsALot(x))
∀x (Bear(x) → BigAnimal(x))
BigAnimal(larry)","Travel(larry, far) ⊕ Need(larry, largeTerritory) → Bear(larry)",,TravelFar(larry) ⊕ NeedsLargeTerritory(larry) → Bear(larry),,
,,,,,,,,,,,"2,D1",Larry needs a large territory.,,D2,universal instantiation,,,,,,,,
,,,,,,,,,,,"1,D2",Larry travels far.,,D3,universal instantiation,,,,,,,,
,,,,,,,,,,,"D2, D3",Larry both needs a large territory and travels far.,,D4,conjunction introduction,,,,,,,,
,,,,,,,,,,,D4,"If Larry either travels far or needs a large territory, then Larry is a bear.",,D5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
450,CORRECTED,,CHECKED,,,"Those who can fly over a vast distance glide in the air. 
Flightless birds cannot fly over a vast distance. 
Penguins are flightless birds. 
Nonflying birds in Antarctica are penguins. 
Fido is a penguin, or flies over a vast distance. ","Every swimmer can go underwater.
Everyone who eats fish that they caught is a swimmer.
Every penguin eats fish they catch themselves.
All nonflying birds in Antarctica are penguins.
Fido is a penguin or a swimmer.",Fido eats fish they catch themselves.,Fido is a flightless bird,U,,,,,,,"∀x (CanFlyVastDistance(x) → Glides(x))
∀x (Flightless(x) → ¬CanFlyVastDistance(x))
∀x (Penguin(x) → Flightless(x))
∀x (AntarcticNonFlyingBird(x) → Penguin(x))
Penguin(Fido) ∨ CanFlyVastDistance(Fido)","∀x (CanFlyVastDistance(x) → Glides(x))
∀x (Flightless(x) → ¬CanFlyVastDistance(x))
∀x (Penguin(x) → Flightless(x))
∀x (AntarcticNonFlyingBird(x) → Penguin(x))
Penguin(Fido) ∨ CanFlyVastDistance(Fido)",,Flightless(fido),EatsFishCaughtThemselves(fido),,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
450,,,CHECKED,,,"Those who can fly over a vast distance glide in the air. 
Flightless birds cannot fly over a vast distance. 
Penguins are flightless birds. 
Nonflying birds in Antarctica are penguins. 
Fido is a penguin, or flies over a vast distance. ","Every swimmer can go underwater.
Everyone who eats fish that they caught is a swimmer.
Every penguin eats fish they catch themselves.
All nonflying birds in Antarctica are penguins.
Fido is a penguin or a swimmer.",Fido is neither a non-flying bird nor can Fido go underwater.,Fido is neither a Nonflying birds in Antarctica nor can Fido go underwater.,F,"2,3",Every penguin is a swimmer.,,D1,hypothetical syllogism,,"∀x (CanFlyVastDistance(x) → Glides(x))
∀x (Flightless(x) → ¬CanFlyVastDistance(x))
∀x (Penguin(x) → Flightless(x))
∀x (AntarcticNonFlyingBird(x) → Penguin(x))
Penguin(Fido) ∨ CanFlyVastDistance(Fido)","∀x (Swimmer(x) → GoesUnderwater(x))
∀x (EatsFishCaughtThemselves(x) → Swimmer(x))
∀x (Penguin(x) → EatsFishCaughtThemselves(x))
∀x (NonFlyingBirdInAntartica(x) → Penguin(x))
Penguin(fido) ∨ Swimmer(fido)",,¬AntarcticNonFlyingBird(fido) ∧ ¬GoesUnderwater(fido),¬NonFlyingBirdInAntartica(fido) ∧ ¬GoesUnderwater(fido),,
,,,,,,,,,,,"5,D1",Fido is a swimmer or a swimmer.,,D2,universal instantiation,,,,,,,,
,,,,,,,,,,,D2,Fido is a swimmer.,,D3,,,,,,,,,
,,,,,,,,,,,"1,D3",Fido can go underwater.,,D4,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
450,,,CHECKED,,,"Those who can fly over a vast distance glide in the air. 
Flightless birds cannot fly over a vast distance. 
Penguins are flightless birds. 
Nonflying birds in Antarctica are penguins. 
Fido is a penguin, or flies over a vast distance. ","Every swimmer can go underwater.
Everyone who eats fish that they caught is a swimmer.
Every penguin eats fish they catch themselves.
All nonflying birds in Antarctica are penguins.
Fido is a penguin or a swimmer.","If Fido can either go underwater or is a swimmer, then Fido is a nonflying bird in Antartica.","If Fido either can fly over a vast distance glide in the air or cannot fly over a vast distance, then Fido is a nonflying bird in Antartica.",T,"2,3",Every penguin is a swimmer.,,D1,hypothetical syllogism,,"∀x (CanFlyVastDistance(x) → Glides(x))
∀x (Flightless(x) → ¬CanFlyVastDistance(x))
∀x (Penguin(x) → Flightless(x))
∀x (AntarcticNonFlyingBird(x) → Penguin(x))
Penguin(Fido) ∨ CanFlyVastDistance(Fido)","∀x (Swimmer(x) → GoesUnderwater(x))
∀x (EatsFishCaughtThemselves(x) → Swimmer(x))
∀x (Penguin(x) → EatsFishCaughtThemselves(x))
∀x (NonFlyingBirdInAntartica(x) → Penguin(x))
Penguin(fido) ∨ Swimmer(fido)",,Glides(fido) ⊕ ¬CanFlyVastDistance(fido) → NonFlyingBirdInAntartica(fido),GoesUnderwater(fido) ⊕ Swimmer(fido) → NonFlyingBirdInAntartica(fido),,
,,,,,,,,,,,"5,D1",Fido is a swimmer or a swimmer.,,D2,universal instantiation,,,,,,,,
,,,,,,,,,,,D2,Fido is a swimmer.,,D3,,,,,,,,,
,,,,,,,,,,,"1,D3",Fido can go underwater.,,D4,universal instantiation,,,,,,,,
,,,,,,,,,,,"D3,D4",Fido can go underwater and is a swimmer.,,D5,conjunction introduction,,,,,,,,
,,,,,,,,,,,D5,"If Fido can either go underwater or is a swimmer, then Fido is a nonflying bird in Antartica.",,D6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
451,CHECKED,,CHECKED,,,"If you are on the payroll, then you are being paid by the school.
If someone has a job at a school, then they are on the payroll.
All faculty members have a job at a school.
If someone teaches students, they are  a faculty member or a teacher.
Every teacher has students.
If Nancy is a teacher, then they are on the payroll.
If Nancy is not a teacher, then they are not paid by the school.","If you are on the payroll, then you are being paid by the school.
If someone has a job at a school, then they are on the payroll.
All faculty members have a job at a school.
One can be a faculty member or a teacher to teach students.
Every teacher has students.
If Nancy is a teacher, then they are on the payroll.
If Nancy is not a teacher, then they are not paid by the school.",Nancy is a faculty member.,,U,,,,,,,"∀x (On(x, payroll) → PaidBy(x, school))
∀x (HaveJobAt(x, school) → On(x, payroll))
∀x (FacultyMember(x) → HaveJobAt(x, school))
∀x (Teach(x, student) → FacultyMember(x) ∨ Teacher(x))
∀x (Teacher(x) → Have(x, student))
Teacher(nancy) → On(nancy, payroll)
¬Teacher(nancy) → ¬On(nancy, payroll)
Teach(nancy, student)","∀x (OnPayroll(x) → PaidBySchool(x))
∀x (HasJobAtSchool(x) → OnPayroll(x))
∀x (FacultyMember(x) → HasJobAtSchool(x))
∀x (TeachStudent(x) → FacultyMember(x) ∨ Teacher(x))
∀x (Teacher(x) → HasStudents(x))
Teacher(nancy) → OnPayroll(nancy)
¬Teacher(nancy) → ¬OnPayroll(nancy)
TeachStudent(nancy)",,,FacultyMember(nancy),,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
451,CHECKED,,CHECKED,,CHECKED,"If you are on the payroll, then you are being paid by the school.
If someone has a job at a school, then they are on the payroll.
All faculty members have a job at a school.
If someone teaches students, they are  a faculty member or a teacher.
Every teacher has students.
If Nancy is a teacher, then they are on the payroll.
If Nancy is not a teacher, then they are not paid by the school.","If you are on the payroll, then you are being paid by the school.
If someone has a job at a school, then they are on the payroll.
All faculty members have a job at a school.
One can be a faculty member or a teacher to teach students.
Every teacher has students.
If Nancy is a teacher, then they are on the payroll.
If Nancy is not a teacher, then they are not paid by the school.",Nancy is paid by the school and has students.,,T,"4,7","If Nancy is not a teacher, then they are a faculty member and not on payroll.",,D1,disjunctive syllogism,,,"∀x (OnPayroll(x) → PaidBySchool(x))
∀x (HasJobAtSchool(x) → OnPayroll(x))
∀x (FacultyMember(x) → HasJobAtSchool(x))
∀x (TeachStudent(x) → FacultyMember(x) ∨ Teacher(x))
∀x (Teacher(x) → HasStudents(x))
Teacher(nancy) → OnPayroll(nancy)
¬Teacher(nancy) → ¬OnPayroll(nancy)
TeachStudent(nancy)",,,"On(nancy, payroll) ∧ Have(nancy, student)",,
,,,,,,,,,,,"2,3","If someone is a faculty member, then they are on the payroll.",,D2,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,"D1,D2",Nancy must be a teacher.,,D3,,,,,,,,,
,,,,,,,,,,,"6,D3",Nancy is a teacher and is on the payroll.,,D4,conjunction introduction,,,,,,,,
,,,,,,,,,,,"1,D4",Nancy is a teacher and is paid by the school.,,D5,universal instantiation,,,,,,,,
,,,,,,,,,,,"5,D5",Nancy has students and is paid by the school.,,D6,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
451,CHECKED,,CHECKED,,CHECKED,"If you are on the payroll, then you are being paid by the school.
If someone has a job at a school, then they are on the payroll.
All faculty members have a job at a school.
If someone teaches students, they are  a faculty member or a teacher.
Every teacher has students.
If Nancy is a teacher, then they are on the payroll.
If Nancy is not a teacher, then they are not paid by the school.","If you are on the payroll, then you are being paid by the school.
If someone has a job at a school, then they are on the payroll.
All faculty members have a job at a school.
One can be a faculty member or a teacher to teach students.
Every teacher has students.
If Nancy is a teacher, then they are on the payroll.
If Nancy is not a teacher, then they are not paid by the school.",Nancy is not paid by the school and has students.,,F,"4,7","If Nancy is not a teacher, then they are a faculty member and not on payroll.",,D1,disjunctive syllogism,,,"∀x (OnPayroll(x) → PaidBySchool(x))
∀x (HasJobAtSchool(x) → OnPayroll(x))
∀x (FacultyMember(x) → HasJobAtSchool(x))
∀x (TeachStudent(x) → FacultyMember(x) ∨ Teacher(x))
∀x (Teacher(x) → HasStudents(x))
Teacher(nancy) → OnPayroll(nancy)
¬Teacher(nancy) → ¬OnPayroll(nancy)
TeachStudent(nancy)",,,"¬(On(nancy, payroll) ∧ Have(nancy, student))",,
,,,,,,,,,,,"2,3","If someone is a faculty member, then they are on the payroll.",,D2,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,"D1,D2",Nancy must be a teacher.,,D3,,,,,,,,,
,,,,,,,,,,,"6,D3",Nancy is a teacher and is on the payroll.,,D4,conjunction introduction,,,,,,,,
,,,,,,,,,,,"1,D4",Nancy is a teacher and is paid by the school.,,D5,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
452,CORRECTED,,CHECKED,,,"All aliens are extraterrestrials.
If someone is from Mars, then they are an alien.
No extraterrestrials are human.
All highly intelligent beings from Earth are humans.
Marvin is a highly intelligent being.
Marvin is either from Earth and from Mars, or he is from neither.
If Marvin is not from Earth, then Marvin is an extraterrestrial.","All aliens are extraterrestrials.
If someone is from Mars, then they are aliens.
No extraterrestrials are humans.
All beings from Earth are humans.
Marvin is either both from Earth and from Mars, or neither.
If Marvin is not from Earth, then Marvin is an extraterrestrial.",Marvin is an alien.,,U,,,,,,"∀x (Alien(x) → Extraterrestrial(x))
∀x (From(x, mars) → Alien(x))
∀x (Extraterrestrial(x) → ¬Human(x))
∀x (HighlyIntelligent ∧ From(x, earth) → Human(x))
HighlyIntelligent(marvin)
¬(From(marvin, earth) ⊕ From(marvin, mars))
¬From(marvin, earth) → Extraterrestrial(marvin)","∀x (Alien(x) → Extraterrestrial(x))
∀x (FromMars(x) → Alien(x))
∀x (Extraterrestrial(x) → ¬Human(x))
∀x (HighlyIntelligent ∧ FromEarth(x) → Human(x))
HighlyIntelligent(marvin)
¬(FromEarth(marvin) ⊕ FromMars(marvin))
¬FromEarth(marvin) → Extraterrestrial(marvin)","∀x (Alien(x) → Extraterrestrial(x))
∀x (FromMars(x) → Alien(x))
∀x (Extraterrestrial(x) → ¬Human(x))
∀x (FromEarth(x) → Human(x))
¬(FromEarth(marvin) ⊕ FromMars(marvin))
¬FromEarth(marvin) → Extraterrestrial(marvin)",Alien(marvin),,Alien(marvin),,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
452,,,CHECKED,,,"All aliens are extraterrestrials.
If someone is from Mars, then they are an alien.
No extraterrestrials are human.
All highly intelligent beings from Earth are humans.
Marvin is a highly intelligent being.
Marvin is either from Earth and from Mars, or he is from neither.
If Marvin is not from Earth, then Marvin is an extraterrestrial.","All aliens are extraterrestrials.
If someone is from Mars, then they are aliens.
No extraterrestrials are humans.
All beings from Earth are humans.
Marvin is either both from Earth and from Mars, or neither.
If Marvin is not from Earth, then Marvin is an extraterrestrial.",Marvin is neither a human nor from Mars.,,T,"1,2","If someone is from Mars, then they are extraterrestrials.","If someone is from Mars, then they are extraterrestrials.",D1,hypothetical syllogism,,"∀x (Alien(x) → Extraterrestrial(x))
∀x (FromMars(x) → Alien(x))
∀x (Extraterrestrial(x) → ¬Human(x))
∀x (HighlyIntelligent ∧ FromEarth(x) → Human(x))
HighlyIntelligent(marvin)
¬(FromEarth(marvin) ⊕ FromMars(marvin))
¬FromEarth(marvin) → Extraterrestrial(marvin)","∀x (Alien(x) → Extraterrestrial(x))
∀x (FromMars(x) → Alien(x))
∀x (Extraterrestrial(x) → ¬Human(x))
∀x (FromEarth(x) → Human(x))
¬(FromEarth(marvin) ⊕ FromMars(marvin))
¬FromEarth(marvin) → Extraterrestrial(marvin)","¬Human(marvin) ∧ ¬From(marvin, mars)",,¬Human(marvin) ∧ ¬FromMars(marvin),,
,,,,,,,,,,,"3,D1","If someone is from Mars, then they are not human.","If someone is from Mars, then they are not human.",D2,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,"5,D2","Marvin is either both from Earth and not human, or neither.","Marvin is either both from Earth and not human, or neither.",D3,universal instantiation,,,,,,,,
,,,,,,,,,,,"4,D3","Marvin is either both human and not human, or neither.","Marvin is either both human and not human, or neither.",D4,universal instantiation,,,,,,,,
,,,,,,,,,,,D4,Marvin is from neither Earth nor Mars.,Marvin is from neither Earth nor Mars.,D5,,,,,,,,,
,,,,,,,,,,,"4,D5",Marvin is neither a human nor from Mars.,Marvin is neither a human nor from Mars.,D6,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
452,,,CHECKED,,,"All aliens are extraterrestrials.
If someone is from Mars, then they are an alien.
No extraterrestrials are human.
All highly intelligent beings from Earth are humans.
Marvin is a highly intelligent being.
Marvin is either from Earth and from Mars, or he is from neither.
If Marvin is not from Earth, then Marvin is an extraterrestrial.","All aliens are extraterrestrials.
If someone is from Mars, then they are aliens.
No extraterrestrials are humans.
All beings from Earth are humans.
Marvin is either both from Earth and from Mars, or neither.
If Marvin is not from Earth, then Marvin is an extraterrestrial.","If Marvin is not from Mars, then Marvin is a human.",,F,"1,2","If someone is from Mars, then they are extraterrestrials.","If someone is from Mars, then they are extraterrestrials.",D1,hypothetical syllogism,,"∀x (Alien(x) → Extraterrestrial(x))
∀x (FromMars(x) → Alien(x))
∀x (Extraterrestrial(x) → ¬Human(x))
∀x (HighlyIntelligent ∧ FromEarth(x) → Human(x))
HighlyIntelligent(marvin)
¬(FromEarth(marvin) ⊕ FromMars(marvin))
¬FromEarth(marvin) → Extraterrestrial(marvin)","∀x (Alien(x) → Extraterrestrial(x))
∀x (FromMars(x) → Alien(x))
∀x (Extraterrestrial(x) → ¬Human(x))
∀x (FromEarth(x) → Human(x))
¬(FromEarth(marvin) ⊕ FromMars(marvin))
¬FromEarth(marvin) → Extraterrestrial(marvin)","¬From(marvin, mars) → Human(marvin)",,¬FromMars(marvin) → Human(marvin),,
,,,,,,,,,,,"3,D1","If someone is from Mars, then they are not human.","If someone is from Mars, then they are not human.",D2,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,"5,D2","Marvin is either both from Earth and not human, or neither.","Marvin is either both from Earth and not human, or neither.",D3,universal instantiation,,,,,,,,
,,,,,,,,,,,"4,D3","Marvin is either both human and not human, or neither.","Marvin is either both human and not human, or neither.",D4,universal instantiation,,,,,,,,
,,,,,,,,,,,D4,Marvin is from neither Earth nor Mars.,Marvin is from neither Earth nor Mars.,D5,,,,,,,,,
,,,,,,,,,,,"4,D5",Marvin is neither a human nor from Mars.,Marvin is neither a human nor from Mars.,D6,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
453,QUESTION,,CHECKED,,,"No cold-blooded animals are birds.
All reptiles are cold-blooded.
An animal is cold-blooded or warm-blooded.
If an animal eats other animals, then it is a carnivore.
Ron is neither a cold-blooded animal nor a carnivore.
Henry is neither a carnivore nor a lizard.","No cold-blooded animals are birds.
All reptiles are cold-blooded.
An animal is a bird or it eats other animals.
If an animal eats other animals, then it is a carnivore.
Ron is neither a cold-blooded animal nor a carnivore.
Henry is neither a carnivore nor a lizard.",Ron is a lizard.,,U,,,,,,"∀x (ColdBlooded(x) → ¬Bird(x))
∀x (Reptile(x) → ColdBlooded(x))
∀x (Animal(x) → WarmBlooded(x) ∨ ColdBlooded(x))
∀x (Eat(x, otherAnimal) → Carnivore(x))
¬ColdBlooded(ron) ∧ ¬Carnivore(ron)
¬Carnivore(henry) ∧ ¬Lizard(henry)",,"∀x (ColdBlooded(x) → ¬Bird(x))
∀x (Reptile(x) → ColdBlooded(x))
∀x (Bird(x) ∨ EatOtherAnimals(x))
∀x (EatOtherAnimals(x) → Carnivore(x))
¬ColdBlooded(ron) ∧ ¬Carnivore(ron)
¬Carnivore(henry) ∧ ¬Lizard(henry)",Lizard(ron),,Lizard(ron),,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
