story_id,Truth Value,Premises used,Derivation,Derivation - Corrected,Derivation index,Inference rule
,,2,All people who do not love the Opera are not adults or are not in our family,,D2,transposition
,,"D1, D2",Billy is not adult or is not in our family,,D3,universal instantiation
,,5,Billy is in our family,,D4,conjunction elimination
,,"D3, D4",Billy is not adult ,,D5,disjunctive syllogism
,,3,All people who are not adults are not scientists or are not in our family,,D6,transposition
,,"D6, D5",Billy is not scientist or is not in our family,,D7,universal instantiation
,,"D4, D7",Billy is not scientist ,,D8,disjunctive syllogism
,,5,Billy is a kid,,D9,conjunction elimination
,,"D8, D9","If Billy is a student or a scientist, then Billy is a student and a kid.",,D10,disjunction introduction
,,,,,,
439,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
439,F,,,,,
,,1,No birds are fish,,D1,transposition
,,"D1, 2",No osprey are fish,,D2,hypothetical syllogism
,,"3, 4",Goldfish are fish,,D3,hypothetical syllogism
,,D3,"If something is not fish, then it is not goldfish",,D4,transposition
,,"D2, D4",Osprey is not goldfish,,D5,hypothetical syllogism
,,"D5, 5",Bubbles is not osprey and not goldfish or is not fish,,D6,NA
,,"D6, D4",Bubbles is not osprey and not goldfish or is not goldfish,,D7,ORUni2
,,D7,Bubbles is not a goldfish.,,D8,idempotent
,,,,,,
,,,,,,
439,T,,,,,
,,1,No birds are fish,,D1,transposition
,,"D1, 2",No osprey are fish,,D2,hypothetical syllogism
,,"3, 4",Goldfish are fish,,D3,hypothetical syllogism
,,D3,"If something is not fish, then it is not goldfish",,D4,transposition
,,"D2, D4",Osprey is not goldfish,,D5,hypothetical syllogism
,,"D5, 5",Bubbles is not osprey and not goldfish or is not fish,,D6,NA
,,"D6, D4",Bubbles is not osprey and not goldfish or is not goldfish,,D7,ORUni2
,,D7,Bubbles is not a goldfish.,,D8,idempotent
,,,,,,
,,,,,,
440,F,,,,,
,,"1, 3",All Bengal Tigers are cats,,D1,hypothetical syllogism
,,"D1, 5",Fido is a cat,,D2,universal instantiation
,,"D2, 2",Fido is not a dog,,D3,universal instantiation
,,4,All animals that are not dogs are not husky animals,,D4,transposition
,,"D4, D3",Fido is not a husky animal,,D5,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
440,T,,,,,
,,"1, 3",All Bengal Tigers are cats,,D1,hypothetical syllogism
,,"D1, 5",Fido is a cat,,D2,universal instantiation
,,"D2, 2",Fido is not a dog,,D3,universal instantiation
,,4,All animals that are not dogs are not huskies.,,D4,transposition
,,"D4, D3",Fido is not a husky.,,D5,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
440,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
440,T,,,,,
,,"1, 3",All Bengal Tigers are cats,,D1,hypothetical syllogism
,,"D1, 5",Fido is a cat,,D2,universal instantiation
,,"D2, 2",Fido is not a dog,,D3,universal instantiation
,,4,All animals that are not dogs are not husky animals,,D4,transposition
,,"D4, D3",Fido is not a husky animal,,D5,universal instantiation
,,"D3, D5",Fido is not a dog and is not a husky animal,,D6,conjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
441,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
441,T,,,,,
,,"4, 5",Tom is an animal lover,,D1,universal instantiation
,,"D1, 3",Tom is nice to animals,,D2,universal instantiation
,,"D2, 1",Tom is not mean to animals,,D3,universal instantiation
,,D3,Tom is not both a grumpy person and mean to animals.,,D4,disjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
441,F,,,,,
,,"4, 5",Tom is an animal lover,,D1,universal instantiation
,,"D1, 3",Tom is nice to animals,,D2,universal instantiation
,,"D2, 1",Tom is not mean to animals,,D3,universal instantiation
,,D3,Tom is not both a grumpy person and mean to animals.,,D4,disjunction introduction
,,"D1, D4","If Tom is not both a grumpy person and mean to animals, then Tom is an Animal Lover.",,D5,disjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
442,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
442,F,,,,,
,,4,All aligators are not domesticated animals,All aligators are not domesticated animals.,D1,transposition
,,"D1, 5",Ted is not domesticated animal,Ted is not a domesticated animal.,D2,universal instantiation
,,3,All animals that are not domesticated are not bovines,All animals that are not domesticated are not cows.,D3,transposition
,,"D3, D2",Ted is not bovine,Ted is not a cow.,D4,universal instantiation
,,1,All animals that are not bovines are not cows,All animals that are not bovines are not Brown Swiss Cattle.,D5,transposition
,,"D4, D5",Ted is not a cow,Ted is not Brown Swiss Cattle.,D6,universal instantiation
,,D6,Ted is not a cow or is not a pet,Ted is not Brown Swiss Cattle or is not a pet.,D7,disjunction introduction
,,,,,,
,,,,,,
,,,,,,
442,T,,,,,
,,4,All aligators are not domesticated animals,All aligators are not domesticated animals.,D1,transposition
,,"D1, 5",Ted is not domesticated animal,Ted is not a domesticated animal.,D2,universal instantiation
,,3,All animals that are not domesticated are not bovines,All animals that are not domesticated are not cows.,D3,transposition
,,"D3, D2",Ted is not bovine,Ted is not a cow.,D4,universal instantiation
,,1,All animals that are not bovines are not cows,All animals that are not bovines are not Brown Swiss Cattle.,D5,transposition
,,"D4, D5",Ted is not a cow,Ted is not Brown Swiss Cattle.,D6,universal instantiation
,,D6,"If Ted is a cow, then Ted is not a pet.","If Ted is Brown Swiss Cattle, then Ted is not a pet.",D7,disjunction introduction
,,,,,,
,,,,,,
,,,,,,
443,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
443,T,,,,,
,,"3, 4",All pool managers work at pools,,D1,hypothetical syllogism
,,"D1, 2",All teachers working at pools work at pools,,D2,hypothetical syllogism
,,D2,"If someone does not work at pools, he or she is not a teacher or does not work at pools",,D3,transposition
,,"D3, 5",Mary is not a teacher or does not work at pools,,D4,universal instantiation
,,D4,Mary is not both nice and a teacher working at a pool.,,D5,disjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
443,F,,,,,
,,"3, 4",All pool managers work at pools,,D1,hypothetical syllogism
,,"D1, 2",All teachers working at pools work at pools,,D2,hypothetical syllogism
,,D2,"If someone does not work at pools, he or she is not a teacher or does not work at pools",,D3,transposition
,,"D3, 5",Mary is not a teacher or does not work at pools,,D4,universal instantiation
,,D4,Mary is not both nice and a teacher working at a pool.,,D5,disjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
444,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
444,T,,,,,
,,2,All reptiles are not winged,,D1,transposition
,,1,All animals that are not winged are not birds,,D2,transposition
,,"D1, D2",All reptiles are not birds,,D3,hypothetical syllogism
,,"D3, 4","If something is an iguana, it is not a bird",,D4,hypothetical syllogism
,,"D4, 5",John is not an iguana and is not a bird,,D5,disjunctive syllogism
,,D5,John is not an iguana ,,D6,conjunction elimination
,,D6,John is not an iguana and an animal that can fly.,,D7,disjunction introduction
,,,,,,
,,,,,,
,,,,,,
444,F,,,,,
,,2,All reptiles are not winged,,D1,transposition
,,1,All animals that are not winged are not birds,,D2,transposition
,,"D1, D2",All reptiles are not birds,,D3,hypothetical syllogism
,,"D3, 4","If something is an iguana, it is not a bird",,D4,hypothetical syllogism
,,"D4, 5",John is not an iguana and is not a bird,,D5,disjunctive syllogism
,,D5,John is not a bird,,D6,conjunction elimination
,,D6,John is not a bird or cannot fly,,D7,disjunction introduction
,,,,,,
,,,,,,
,,,,,,
445,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
445,F,,,,,
,,5,Sid is not energetic,,D1,conjunction elimination
,,D1,Sid is not energetic or is not an animal,,D2,disjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
445,T,,,,,
,,5,Sid is not energetic,,D1,conjunction elimination
,,D1,"If Sid is either an animal or unproductive, then Sid is not an energetic person.",,D2,disjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
446,F,,,,,
,,"1, 2",All flowers are not cute animals,,D1,hypothetical syllogism
,,"4, D1",All things that are grown in a garden are not cute animals,,D2,hypothetical syllogism
,,D2,All cute animals are not grown in a garden,,D3,transposition
,,"3, 5",Piper is a cute animal,,D4,universal instantiation
,,"D3, D4",Piper is not grown in a garden,,D5,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
446,T,,,,,
,,"1, 2",All flowers are not cute animals,,D1,hypothetical syllogism
,,"4, D1",All things that are grown in a garden are not cute animals,,D2,hypothetical syllogism
,,D2,All cute animals are not grown in a garden,,D3,transposition
,,"3, 5",Piper is a cute animal,,D4,universal instantiation
,,"D3, D4",Piper is not grown in a garden,,D5,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
446,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
447,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
447,F,"4,5",Jill is a faculty member or Jill does not do homework.,Europa is a planet in the solar system or does not rely on nuclear fusion to generate light.,D1,universal instantiation
,,"1,D1",Jill does not do homework or Jill does not do homework.,Europa does not rely on nuclear fusion to generate light or does not rely on nuclear fusion to generate light.,D2,universal instantiation
,,D2,Jill does not do homework.,Europa does not rely on nuclear fusion to generate light.,D3,
,,"2,D3",Jill is not a student.,Europa is not a star in the solar system.,D4,modus tollens
,,"3,D4",Jill is not a kid.,Europa is not a celestial body in the solar system that have greater than 0.08 solar masses.,D5,modus tollens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
447,T,"4,5",Jill is a faculty member or Jill does not do homework.,Europa is a planet in the solar system or does not rely on nuclear fusion to generate light.,D1,universal instantiation
,,"1,D1",Jill does not do homework or Jill does not do homework.,Europa does not rely on nuclear fusion to generate light or does not rely on nuclear fusion to generate light.,D2,universal instantiation
,,D2,Jill does not do homework.,Europa does not rely on nuclear fusion to generate light.,D3,
,,"2,D3",Jill is not a student.,Europa is not a star in the solar system.,D4,modus tollens
,,"3,D4",Jill is not a kid.,Europa is not a celestial body in the solar system that have greater than 0.08 solar masses.,D5,modus tollens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
448,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
448,T,,,,,
,,"1, 2","If someone plays football, then he or she can throw a football","If someone is a seasoned software engineer at Google, then they know how to use a queue.",D1,hypothetical syllogism
,,D1,"If someone cannot throw a football, then he or she does not play football","If someone does not know how to use a queue, then they are not a seasoned software engineer at Google.",D2,transposition
,,3,"If someone does not play football, then he or she plays basketball","If someone is not a seasoned software engineer at Google, then they have human rights.",D3,XOR4
,,"D2, D3","If someone cannot throw a football, the he or she plays basketball","If someone does not know how to use a queue, then they have human rights.",D4,hypothetical syllogism
,,"D4, 7",Jack is tall or is a basketball player,Jack is entitled to the right to life and liberty or has human rights.,D5,universal instantiation
,,"D5, 4",Jack is tall ,Jack is entitled to the right to life and liberty.,D6,universal instantiation
,,"D6, 6",Jack is in shape,Jack cannot be deprived of their rights without due process of law.,D7,universal instantiation
,,,,,,
,,,,,,
,,,,,,
448,F,,,,,
,,"1, 2","If someone plays football, then he or she can throw a football","If someone is a seasoned software engineer at Google, then they know how to use a queue.",D1,hypothetical syllogism
,,D1,"If someone cannot throw a football, then he or she does not play football","If someone does not know how to use a queue, then they are not a seasoned software engineer at Google.",D2,transposition
,,3,"If someone does not play football, then he or she plays basketball","If someone is not a seasoned software engineer at Google, then they have human rights.",D3,XOR4
,,"D2, D3","If someone cannot throw a football, the he or she plays basketball","If someone does not know how to use a queue, then they have human rights.",D4,hypothetical syllogism
,,"D4, 7",Jack is tall or is a basketball player,Jack is entitled to the right to life and liberty or has human rights.,D5,universal instantiation
,,"D5, 4",Jack is tall ,Jack is entitled to the right to life and liberty.,D6,universal instantiation
,,"D6, 6",Jack is in shape,Jack cannot be deprived of their rights without due process of law.,D7,universal instantiation
,,,,,,
,,,,,,
,,,,,,
449,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
449,F,"3,5",Larry eats a lot.,,D1,universal instantiation
,,"2,D1",Larry needs a large territory.,,D2,universal instantiation
,,"1,D2",Larry travels far.,,D3,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
449,T,"3,5",Larry eats a lot.,,D1,universal instantiation
,,"2,D1",Larry needs a large territory.,,D2,universal instantiation
,,"1,D2",Larry travels far.,,D3,universal instantiation
,,"D2, D3",Larry both needs a large territory and travels far.,,D4,conjunction introduction
,,D4,"If Larry either travels far or needs a large territory, then Larry is a bear.",,D5,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
450,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
450,F,"2,3",Every penguin is a swimmer.,,D1,hypothetical syllogism
,,"5,D1",Fido is a swimmer or a swimmer.,,D2,universal instantiation
,,D2,Fido is a swimmer.,,D3,
,,"1,D3",Fido can go underwater.,,D4,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
450,T,"2,3",Every penguin is a swimmer.,,D1,hypothetical syllogism
,,"5,D1",Fido is a swimmer or a swimmer.,,D2,universal instantiation
,,D2,Fido is a swimmer.,,D3,
,,"1,D3",Fido can go underwater.,,D4,universal instantiation
,,"D3,D4",Fido can go underwater and is a swimmer.,,D5,conjunction introduction
,,D5,"If Fido can either go underwater or is a swimmer, then Fido is a nonflying bird in Antartica.",,D6,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
451,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
451,T,"4,7","If Nancy is not a teacher, then they are a faculty member and not on payroll.",,D1,disjunctive syllogism
,,"2,3","If someone is a faculty member, then they are on the payroll.",,D2,hypothetical syllogism
,,"D1,D2",Nancy must be a teacher.,,D3,
,,"6,D3",Nancy is a teacher and is on the payroll.,,D4,conjunction introduction
,,"1,D4",Nancy is a teacher and is paid by the school.,,D5,universal instantiation
,,"5,D5",Nancy has students and is paid by the school.,,D6,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
451,F,"4,7","If Nancy is not a teacher, then they are a faculty member and not on payroll.",,D1,disjunctive syllogism
,,"2,3","If someone is a faculty member, then they are on the payroll.",,D2,hypothetical syllogism
,,"D1,D2",Nancy must be a teacher.,,D3,
,,"6,D3",Nancy is a teacher and is on the payroll.,,D4,conjunction introduction
,,"1,D4",Nancy is a teacher and is paid by the school.,,D5,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
452,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
452,T,"1,2","If someone is from Mars, then they are extraterrestrials.","If someone is from Mars, then they are extraterrestrials.",D1,hypothetical syllogism
,,"3,D1","If someone is from Mars, then they are not human.","If someone is from Mars, then they are not human.",D2,hypothetical syllogism
,,"5,D2","Marvin is either both from Earth and not human, or neither.","Marvin is either both from Earth and not human, or neither.",D3,universal instantiation
,,"4,D3","Marvin is either both human and not human, or neither.","Marvin is either both human and not human, or neither.",D4,universal instantiation
,,D4,Marvin is from neither Earth nor Mars.,Marvin is from neither Earth nor Mars.,D5,
,,"4,D5",Marvin is neither a human nor from Mars.,Marvin is neither a human nor from Mars.,D6,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
452,F,"1,2","If someone is from Mars, then they are extraterrestrials.","If someone is from Mars, then they are extraterrestrials.",D1,hypothetical syllogism
,,"3,D1","If someone is from Mars, then they are not human.","If someone is from Mars, then they are not human.",D2,hypothetical syllogism
,,"5,D2","Marvin is either both from Earth and not human, or neither.","Marvin is either both from Earth and not human, or neither.",D3,universal instantiation
,,"4,D3","Marvin is either both human and not human, or neither.","Marvin is either both human and not human, or neither.",D4,universal instantiation
,,D4,Marvin is from neither Earth nor Mars.,Marvin is from neither Earth nor Mars.,D5,
,,"4,D5",Marvin is neither a human nor from Mars.,Marvin is neither a human nor from Mars.,D6,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
453,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
453,F,"4,6",Henry does not eat other animals.,Henry does not eat other animals.,D1,modus tollens
,,"3,D1",Henry is a bird.,Henry is a bird.,D2,disjunctive syllogism
,,"1,D2",Henry is not cold-blooded.,Henry is not cold-blooded.,D3,modus tollens
,,"2,D3",Henry is not a reptile.,Henry is not a reptile.,D4,modus tollens
,,"4,5",Ron does not eat other animals.,Ron does not eat other animals.,D5,modus tollens
,,"D4,D5",Henry is not a reptile and Ron does not eat other animals.,Henry is not a reptile and Ron does not eat other animals.,D6,conjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
453,T,"4,6",Henry does not eat other animals.,Henry does not eat other animals.,D1,modus tollens
,,"3,D1",Henry is a bird.,Henry is a bird.,D2,disjunctive syllogism
,,"1,D2",Henry is not cold-blooded.,Henry is not cold-blooded.,D3,modus tollens
,,"2,D3",Henry is not a reptile.,Henry is not a reptile.,D4,modus tollens
,,"4,5",Ron does not eat other animals.,Ron does not eat other animals.,D5,modus tollens
,,"D4,D5",Henry is not a reptile and Ron does not eat other animals.,Henry is not a reptile and Ron does not eat other animals.,D6,conjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
454,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
454,T,8,"Liam either walks and enjoys water, or neither walks nor enjoys water. ",,D1,
,,3,"If an animal does not walk, then it swims.",,D2,disjunctive syllogism
,,"2,D2","If an animal does not walk, then can go underwater.",,D3,hypothetical syllogism
,,"1,D3","If an animal does not walk, then it enjoys water.",,D4,hypothetical syllogism
,,"D1,D4",Liam walks and enjoys water. ,,D5,disjunctive syllogism
,,"4,D5",Liam travels on land and enjoys water. ,,D6,universal instantiation
,,"6,D6",Liam enjoys basking in the sun and enjoys water. ,,D7,universal instantiation
,,"5,D7",Liam enjoys basking in the sun and splashing water around. ,,D8,universal instantiation
,,,,,,
,,,,,,
,,,,,,
454,F,8,"Liam either walks and enjoys water, or neither walks nor enjoys water. ",,D1,
,,3,"If an animal does not walk, then it swims.",,D2,disjunctive syllogism
,,"2,D2","If an animal does not walk, then can go underwater.",,D3,hypothetical syllogism
,,"1,D3","If an animal does not walk, then it enjoys water.",,D4,hypothetical syllogism
,,"D1,D4",Liam walks and enjoys water. ,,D5,disjunctive syllogism
,,"4,D5",Liam travels on land and enjoys water. ,,D6,universal instantiation
,,"6,D6",Liam enjoys basking in the sun and enjoys water. ,,D7,universal instantiation
,,"5,D7",Liam enjoys basking in the sun and splashing water around. ,,D8,universal instantiation
,,,,,,
,,,,,,
,,,,,,
455,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
455,F,,,,,
,,"4,5",Deodorant is not edible,,1,modus ponens
,,"3,D1",Deodrant is not food,,2,modus tollens
,,"1,D2",Deodrant is not bread,,3,modus tollens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
455,T,,,,,
,,"4,5",Deodorant is not edible,,D1,modus tollens
,,"D1,3",Deodorant is not food,,D2,modus tollens
,,"D2,1",Deodorant is not bread,,D3,modus tollens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
456,"U
",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
456,"T
",,,,,
,,"4,5",Yuri does not wear large shoes,,1,modus tollens
,,"3,D1",Yuri is not tall,,2,modus tollens
,,"2,D2",Yuri is not a basketball player,,3,modus tollens
,,D3,Yuri is not an American basketball player,,4,disjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
456,"F
",,,,,
,,"4,5",Yuri does not wear large shoes,,1,modus tollens
,,"3,D1",Yuri is not tall,,2,modus tollens
,,"2,D2",Yuri is not a basketball player,,3,modus tollens
,,D3,Yuri is not an American basketball player,,4,disjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
456,"F
",,,,,
,,3,"If Yuri is tall, then Yuri wear large shoes.",,1,universal instantiation
,,"2,D1","If Yuri is a basketball player, then Yuri wear large shoes.",,2,hypothetical syllogism
,,D2,"If Yuri does not wear large shoes, then Yuri is not a basketball player.",,3,transposition
,,D3,"If Yuri does not wear large shoes, then Yuri is not an American basketball player.",,4,disjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
456,F,,,,,
,,3,"If Yuri is tall, then Yuri wear large shoes.",,D1,universal instantiation
,,"2,D1","If Yuri is a basketball player, then Yuri wear large shoes.",,D2,hypothetical syllogism
,,D2,"If Yuri does not wear large shoes, then Yuri is not a basketball player.",,D3,transposition
,,"D3,5",Yuri is not a basketball player,,D4,hypothetical syllogism
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
457,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
457,T,,,,,
,,,,,,
,,6,,"Jack is not a child or not a human, or Jack is neither able to vote nor is a child.",D1,material implication
,,1,,"If someone is not a human, they are not a child.",D2,transposition
,,D2,,"If Jack is not a human, Jack is not a child.",D3,universal instantiation
,,"D1, D3",,"Jack is not a child or not a child, or Jack is neither able to vote nor is a child.",D4,ORUni2
,,D4,,"Jack is not a child or not a child, or Jack is not a child.",D5,conjunction elimination
,,D5,,Jack is not a child.,D6,idempotent
,,"D6, 2",,Jack is not underage.,D7,universal instantiation and modus tollens
,,"D7, 3",,Jack is of age.,D8,disjunctive syllogism
,,"D8, 4",,Jack can vote.,D9,universal instantiation and modus ponens
,,"D8, 5",,Jack can legally get married.,D10,universal instantiation and modus ponens
,,"D9, D10",,Jack can vote and can legally get married.,D11,conjunction introduction
,,,,,,
457,F,,,,,
,,"4,5","if someone is old , then they are weak and fragile ","If someone is of age, then they can vote and can legally get married.",D1,conjunction introduction
,,D1,"if Jack is old, then Jack is weak and fragile","If Jack is of age, then Jack can vote and can legally get married.",D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
458,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
458,F,,,,,
,,6,A watch is an airtight and a piece of clothing or not either airtight or a piece of clothing.,A watch is an edible and a piece of clothing or not either edible or a piece of clothing.,D1,material implication
,,"4,5",No clothes are airtight,No clothes are edible.,D2,hypothetical syllogism
,,"D1,D2",A watch is neither a cloth or airtight,A watch is neither a piece of clothing nor edible.,D3,disjunctive syllogism
,,D3,A watch is not a cloth,A watch is not a piece of clothing.,D4,conjunction elimination
,,"1,3",Shoes are clothes,Shoes are clothes.,D5,disjunctive syllogism
,,"D4,D5",A watch is not a shoe,A watch is not a shoe.,D6,modus tollens
,,"2,D6",A watch is not a slipper,A watch is not a slipper.,D7,modus tollens
,,,,,,
,,,,,,
,,,,,,
458,T,,,,,
,,6,A watch is an airtight and a piece of clothing or not either airtight or a piece of clothing.,A watch is an edible and a piece of clothing or not either edible or a piece of clothing.,D1,material implication
,,"4,5",No clothes are airtight,No clothes are edible.,D2,hypothetical syllogism
,,"D1,D2",A watch is neither a cloth or airtight,A watch is neither a piece of clothing nor edible.,D3,disjunctive syllogism
,,D3,A watch is not a cloth,A watch is not a piece of clothing.,D4,conjunction elimination
,,"1,3",Shoes are clothes,Shoes are clothes.,D5,disjunctive syllogism
,,"D4,D5",A watch is not a shoe,A watch is not a shoe.,D6,modus tollens
,,"2,D6",A watch is not a slipper,A watch is not a slipper.,D7,modus tollens
,,D3,A watch is not airtight,A watch is not edible.,D8,conjunction elimination
,,"D7,D8",A watch is neither airtight nor a slipper.,A watch is neither edible nor a slipper.,D9,conjunction introduction
,,,,,,
459,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
459,F,,,,,
,,,,,,
,,6,KiKi jumps or has legs or is terricolous or havs legs,,D1,material implication
,,"D1,5",KiKi jumps or has legs or has legs or has legs,,D2,universal instantiation
,,D2,KiKi jumps or has legs,,D3,Tautology
,,"D3,4",KiKi jumps or jumps,,D4,universal instantiation
,,D4,KiKi jumps,,D5,Tautology
,,"D5,3",Jane likes KiKi,,D6,universal instantiation
,,"D6,1",KiKi does not bark,,D7,modus tollens
,,,,,,
,,,,,,
459,T,,,,,
,,6,KiKi jumps or has legs or is terricolous or havs legs,,D1,material implication
,,"D1,5",KiKi jumps or has legs or has legs or has legs,,D2,universal instantiation
,,D2,KiKi jumps or has legs,,D3,Tautology
,,"D3,4",KiKi jumps or jumps,,D4,universal instantiation
,,D4,KiKi jumps,,D5,Tautology
,,"D5,3",Jane likes KiKi,,D6,universal instantiation
,,"D6,1",KiKi does not bark,,D7,modus tollens
,,"D7,2",KiKi is not a dog,,D8,modus tollens
,,"D7,D8",KiKi does not bark and he is not a doog,,D9,conjunction introduction
,,,,,,
,,,,,,
460,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
460,F,,,,,
,,"4,6",Sesame Street either is rated General Audience or can be viewed by everyone.,“Hachi: A Dog’s Tale” either is rated General Audience or is appropriate for people of all ages.,D1,universal instantiation
,,"3,D1",Sesame Street either can be viewed by everyone or can be viewed by everyone.,“Hachi: A Dog’s Tale” either is appropriate for people of all ages or is appropriate for people of all ages.,D2,universal instantiation
,,D2,Sesame Street can be viewed by everyone.,“Hachi: A Dog’s Tale” is appropriate for people of all ages.,D3,conjunction elimination
,,"1,D3",Sesame Street is popular among children.,Children can watch “Hachi: A Dog’s Tale” without guidance from parents.,D4,universal instantiation
